user_id,login_time_hour,login_location_risk,failed_logins,files_accessed,data_download_mb,usb_usage,anomaly_label,predicted_anomaly
115,18,0.22,0,38,47,0,0,0
116,14,0.16,1,24,29,0,0,0
117,14,0.21,0,15,166,1,0,0
118,17,0.29,0,20,188,0,0,0
119,1,0.85,6,144,735,1,1,0
120,7,0.25,0,10,64,0,0,0
121,14,0.26,0,23,101,0,0,0
122,9,0.25,1,41,37,0,0,0
123,9,0.13,0,8,13,0,0,0
124,7,0.07,1,8,159,0,0,0
125,17,0.12,0,24,85,0,0,0
126,11,0.27,2,14,182,0,0,0
127,16,0.04,1,28,76,1,0,0
128,13,0.15,2,39,95,0,0,0
129,16,0.07,0,30,171,0,0,0
130,15,0.17,1,41,100,0,0,0
131,18,0.26,0,42,192,1,0,0
132,13,0.26,1,25,114,0,0,0
133,15,0.07,2,44,10,0,0,0
134,14,0.27,3,43,81,0,0,0
135,18,0.18,3,25,96,0,0,0
136,8,0.11,1,14,175,0,0,0
137,7,0.21,0,42,15,0,0,0
138,13,0.14,1,8,162,0,0,0
139,13,0.11,0,49,154,0,0,0
140,14,0.21,1,24,70,0,0,0
141,11,0.07,4,21,21,0,0,0
142,9,0.1,1,11,15,0,0,0
143,18,0.13,1,8,36,0,0,0
144,14,0.08,1,33,145,0,0,0
145,12,0.12,3,18,133,0,0,0
146,3,0.98,17,408,1289,1,1,1
147,9,0.22,2,28,194,0,0,0
148,7,0.23,1,41,102,0,0,0
149,1,0.97,12,243,984,1,1,0
150,11,0.22,1,8,108,0,0,0
151,9,0.2,0,28,177,0,0,0
152,7,0.07,2,38,151,0,0,0
153,11,0.12,0,34,44,0,0,0
154,16,0.14,0,22,185,1,0,0
155,4,0.89,10,363,535,1,1,0
156,13,0.16,2,35,65,0,0,0
157,17,0.13,2,23,186,1,0,0
158,15,0.24,3,23,150,0,0,0
159,16,0.29,1,26,198,0,0,0
160,16,0.17,2,28,58,0,0,0
161,18,0.1,1,49,55,0,0,0
162,19,0.01,0,16,122,0,0,0
163,4,0.92,6,278,1067,1,1,0
164,13,0.28,0,42,145,0,0,0
165,7,0.08,0,35,52,0,0,0
166,10,0.21,1,40,157,0,0,0
167,19,0.02,1,23,133,0,0,0
168,10,0.05,3,49,106,0,0,0
169,11,0.07,0,40,99,0,0,0
170,13,0.09,1,34,48,0,0,0
171,13,0.3,1,37,94,1,0,0
172,19,0.21,2,22,186,0,0,0
173,17,0.12,0,32,71,0,0,0
174,19,0.22,0,15,115,1,0,0
175,10,0.27,0,49,116,0,0,0
176,19,0.29,1,37,63,0,0,0
177,13,0.02,1,21,135,0,0,0
178,17,0.12,1,10,18,1,0,0
179,9,0.03,0,8,97,0,0,0
180,12,0.1,0,24,46,0,0,0
181,3,0.85,18,330,1994,1,1,1
182,8,0.19,1,19,50,0,0,0
183,16,0.12,2,10,26,0,0,0
184,19,0.07,2,18,97,0,0,0
185,15,0.08,2,15,30,0,0,0
186,11,0.11,0,43,60,0,0,0
187,12,0.08,0,13,68,0,0,0
188,18,0.14,3,30,176,0,0,0
189,18,0.01,2,20,192,0,0,0
190,18,0.08,0,9,50,0,0,0
191,18,0.12,1,14,48,0,0,0
192,0,0.82,18,314,691,1,1,0
193,2,0.79,13,463,863,1,1,0
194,16,0.04,0,47,156,0,0,0
195,13,0.02,2,34,148,0,0,0
196,18,0.28,3,49,86,0,0,0
197,15,0.12,2,10,136,0,0,0
198,4,0.79,8,227,1427,1,1,0
199,7,0.28,2,49,54,0,0,0
200,3,0.82,18,187,1403,1,1,0
201,15,0.26,0,46,177,0,0,0
202,17,0.17,0,39,117,0,0,0
203,15,0.05,2,30,28,0,0,0
204,10,0.12,2,9,85,0,0,0
205,19,0.23,1,33,81,0,0,0
206,15,0.14,0,41,198,0,0,0
207,9,0.3,0,24,118,0,0,0
208,13,0.11,0,25,21,0,0,0
209,12,0.22,0,14,198,0,0,0
210,14,0.12,1,9,170,0,0,0
211,17,0.25,0,40,54,0,0,0
212,15,0.17,1,10,99,0,0,0
213,11,0.02,2,30,112,0,0,0
214,7,0.01,1,8,17,0,0,0
215,9,0.04,1,43,162,1,0,0
216,0,0.84,15,125,1621,1,1,1
217,18,0.02,1,39,183,0,0,0
218,14,0.21,0,5,96,0,0,0
219,17,0.16,1,28,167,0,0,0
220,12,0.22,1,40,184,0,0,0
221,14,0.27,1,10,186,1,0,0
222,2,0.74,11,392,1149,1,1,0
223,10,0.22,2,48,93,0,0,0
224,3,0.82,17,280,609,1,1,0
225,7,0.11,1,24,155,0,0,0
226,16,0.07,0,28,77,0,0,0
227,1,0.98,10,397,595,1,1,0
228,18,0.08,1,40,136,0,0,0
229,13,0.08,0,25,173,0,0,0
230,8,0.06,2,34,91,0,0,0
231,9,0.26,2,28,156,0,0,0
232,7,0.23,1,48,165,0,0,0
233,11,0.01,0,46,177,0,0,0
234,7,0.08,1,34,93,0,0,0
235,14,0.01,2,26,122,1,0,0
236,7,0.15,2,32,85,0,0,0
237,17,0.14,2,11,131,1,0,0
238,7,0.25,1,39,152,0,0,0
239,8,0.09,4,32,50,0,0,0
240,8,0.24,1,18,176,0,0,0
241,18,0.29,1,14,11,1,0,0
242,12,0.03,2,20,38,0,0,0
243,13,0.24,0,20,114,0,0,0
244,11,0.18,1,35,60,0,0,0
245,7,0.14,2,46,84,0,0,0
246,4,0.72,8,110,952,1,1,0
247,9,0.24,1,17,151,0,0,0
248,8,0.19,2,10,60,1,0,0
249,11,0.24,0,48,127,0,0,0
250,18,0.27,0,13,130,0,0,0
251,16,0.19,1,49,48,0,0,0
252,12,0.29,1,40,37,0,0,0
253,13,0.18,0,47,12,0,0,0
254,3,0.79,10,334,1083,1,1,0
255,13,0.17,1,22,164,0,0,0
256,17,0.03,1,47,126,1,0,0
257,14,0.22,2,25,11,1,0,0
258,17,0.16,2,8,102,0,0,0
259,7,0.14,1,37,175,1,0,0
260,12,0.27,1,31,140,0,0,0
261,1,0.83,10,472,1746,1,1,1
262,11,0.16,1,10,103,0,0,0
263,10,0.21,2,19,49,0,0,0
264,8,0.24,1,22,11,0,0,0
265,12,0.14,0,36,90,0,0,0
266,12,0.25,1,15,178,0,0,0
267,17,0.23,1,24,21,0,0,0
268,7,0.02,1,28,172,0,0,0
269,15,0.01,2,19,74,0,0,0
270,18,0.19,1,11,64,1,0,0
271,17,0.1,0,25,54,0,0,0
272,3,0.74,10,106,1819,1,1,1
273,19,0.17,1,30,71,0,0,0
274,9,0.1,2,48,58,0,0,0
275,10,0.16,1,18,136,0,0,0
276,18,0.14,1,41,162,0,0,0
277,17,0.18,0,25,32,0,0,0
278,10,0.12,1,22,161,1,0,0
279,9,0.21,1,9,47,0,0,0
280,16,0.05,0,7,37,0,0,0
281,0,0.81,16,218,1136,1,1,0
282,9,0.12,1,30,191,1,0,0
283,10,0.26,0,41,116,0,0,0
284,13,0.15,1,28,155,0,0,0
285,10,0.29,1,23,173,0,0,0
286,2,0.95,17,218,530,1,1,0
287,7,0.07,1,25,182,0,0,0
288,14,0.25,0,16,128,0,0,0
289,13,0.1,2,45,82,0,0,0
290,8,0.1,2,37,190,0,0,0
291,14,0.01,1,8,131,0,0,0
292,7,0.16,1,46,39,1,0,0
293,17,0.16,0,11,197,1,0,0
294,2,0.85,7,321,1861,1,1,0
295,15,0.27,1,37,107,0,0,0
296,15,0.04,0,21,41,0,0,0
297,8,0.1,0,28,165,0,0,0
298,13,0.1,0,38,181,0,0,0
299,16,0.03,2,32,88,0,0,0
300,9,0.14,1,47,50,0,0,0
301,13,0.21,0,45,72,1,0,0
302,3,0.87,15,338,1572,1,1,0
303,16,0.05,2,26,113,0,0,0
304,15,0.11,1,21,84,0,0,0
305,10,0.0,1,38,57,0,0,0
306,18,0.26,0,10,169,0,0,0
307,7,0.03,0,10,66,0,0,0
308,2,0.81,12,412,1536,1,1,0
309,7,0.3,0,5,109,0,0,0
310,18,0.16,1,14,133,0,0,0
311,11,0.28,0,25,170,0,0,0
312,0,0.97,14,247,775,1,1,0
313,17,0.23,2,6,176,0,0,0
314,13,0.16,0,26,43,0,0,0
315,15,0.22,0,6,193,0,0,0
316,15,0.02,3,14,165,0,0,0
317,9,0.04,4,38,174,0,0,0
318,9,0.04,2,20,16,0,0,0
319,9,0.21,0,43,174,0,0,0
320,10,0.25,1,26,65,1,0,0
321,14,0.22,3,16,74,0,0,0
322,12,0.01,0,28,56,1,0,0
323,14,0.26,0,44,157,1,0,0
324,7,0.11,3,42,28,0,0,0
325,14,0.12,2,14,166,0,0,0
326,10,0.03,1,39,197,0,0,0
327,2,0.7,5,439,1063,1,1,1
328,7,0.05,1,11,172,0,0,0
329,14,0.17,2,25,180,0,0,0
330,10,0.25,1,24,135,0,0,0
331,12,0.03,1,30,148,0,0,0
332,14,0.16,1,8,58,0,0,0
333,10,0.07,1,26,122,0,0,0
334,9,0.1,2,19,47,1,0,0
335,15,0.14,4,44,73,0,0,0
336,9,0.11,0,25,78,0,0,0
337,15,0.19,0,19,145,0,0,0
338,19,0.14,1,26,171,0,0,0
339,8,0.18,1,32,185,1,0,0
340,8,0.22,2,18,125,0,0,0
341,8,0.17,2,31,193,1,0,0
342,12,0.18,1,45,74,0,0,0
343,9,0.17,2,44,40,0,0,0
344,19,0.11,0,32,141,0,0,0
345,15,0.1,1,30,122,0,0,0
346,0,0.87,19,174,1594,1,1,1
347,7,0.18,1,29,187,0,0,0
348,10,0.07,2,7,78,0,0,0
349,7,0.15,1,12,167,0,0,0
350,11,0.1,1,48,129,0,0,0
351,10,0.28,3,37,97,0,0,0
352,14,0.0,2,46,196,0,0,0
353,14,0.07,0,39,76,0,0,0
354,13,0.11,1,10,84,0,0,0
355,9,0.15,2,43,54,0,0,0
356,7,0.26,1,27,13,0,0,0
357,7,0.03,1,29,163,0,0,0
358,2,0.89,6,449,1713,1,1,1
359,17,0.02,1,23,183,0,0,0
360,9,0.25,2,9,116,0,0,0
361,12,0.02,0,15,60,0,0,0
362,13,0.01,0,16,59,0,0,0
363,12,0.21,3,14,15,0,0,0
364,12,0.3,0,12,68,0,0,0
365,12,0.27,3,28,134,0,0,0
366,19,0.17,1,32,152,0,0,0
367,9,0.28,1,45,39,0,0,0
368,12,0.0,0,40,179,0,0,0
369,14,0.29,2,41,131,0,0,0
370,17,0.15,0,25,134,0,0,0
371,17,0.22,0,12,46,0,0,0
372,8,0.25,0,13,179,0,0,0
373,11,0.22,0,19,133,0,0,0
374,7,0.16,1,44,110,0,0,0
375,4,0.7,19,338,555,1,1,1
376,7,0.25,0,46,96,0,0,0
377,11,0.06,0,24,143,0,0,0
378,18,0.29,2,10,27,0,0,0
379,19,0.21,1,16,122,0,0,0
380,9,0.06,0,6,38,0,0,0
381,4,0.99,10,249,1262,1,1,1
382,9,0.16,2,20,68,0,0,0
383,7,0.21,2,7,184,0,0,0
384,7,0.23,2,49,135,0,0,0
385,18,0.03,0,7,154,0,0,0
386,18,0.15,0,31,118,1,0,0
387,19,0.28,1,47,31,0,0,0
388,11,0.1,2,44,77,0,0,0
389,12,0.18,1,42,78,0,0,0
390,9,0.11,2,37,174,0,0,0
391,18,0.14,1,32,58,0,0,0
392,15,0.16,0,5,150,0,0,0
393,11,0.16,1,12,171,0,0,0
394,14,0.06,2,41,118,0,0,0
395,19,0.21,1,36,95,0,0,0
396,7,0.03,3,47,62,0,0,0
397,2,0.96,9,372,510,1,1,1
398,9,0.0,1,8,96,0,0,0
399,18,0.04,0,34,188,0,0,0
400,4,0.89,8,172,1361,1,1,0
401,10,0.18,0,23,51,0,0,0
402,19,0.24,1,36,107,0,0,0
403,11,0.03,2,13,169,0,0,0
404,13,0.26,1,16,118,0,0,0
405,7,0.22,0,15,60,0,0,0
406,9,0.12,3,20,94,0,0,0
407,8,0.28,0,5,183,0,0,0
408,15,0.3,0,49,136,0,0,0
409,16,0.06,0,25,30,0,0,0
410,12,0.11,0,34,53,0,0,0
411,16,0.28,0,17,148,0,0,0
412,9,0.22,1,38,112,0,0,0
413,14,0.01,0,8,77,1,0,0
414,14,0.23,2,32,138,0,0,0
415,8,0.25,2,42,101,0,0,0
416,12,0.23,2,35,33,0,0,0
417,13,0.24,1,31,134,0,0,0
418,8,0.25,1,9,150,0,0,0
419,17,0.06,2,29,120,0,0,0
420,2,0.98,14,479,1899,1,1,1
421,8,0.19,0,37,148,0,0,0
422,16,0.27,1,8,188,0,0,0
423,7,0.09,0,29,26,0,0,0
424,14,0.18,0,24,108,0,0,0
425,7,0.2,0,38,91,0,0,0
426,1,0.96,19,322,1943,1,1,1
427,17,0.21,1,9,161,0,0,0
428,12,0.27,1,39,28,0,0,0
429,13,0.19,2,32,174,1,0,0
430,19,0.16,3,33,94,0,0,0
431,16,0.13,1,13,17,0,0,0
432,13,0.17,0,42,37,0,0,0
433,16,0.11,0,10,14,0,0,0
434,9,0.12,1,23,154,0,0,0
435,8,0.16,3,48,110,0,0,0
436,4,0.73,5,163,1825,1,1,1
437,14,0.07,0,6,127,0,0,0
438,19,0.16,1,48,156,0,0,0
439,18,0.13,1,48,73,0,0,0
440,16,0.1,0,13,100,0,0,0
441,13,0.22,0,25,126,0,0,0
442,15,0.21,1,28,107,0,0,0
443,10,0.05,1,38,20,0,0,0
444,19,0.26,1,26,63,0,0,0
445,1,0.84,18,194,1609,1,1,1
446,7,0.22,1,16,56,0,0,0
447,14,0.17,0,32,149,0,0,0
448,18,0.3,2,34,158,0,0,0
449,9,0.23,0,30,148,0,0,0
450,13,0.21,0,25,14,0,0,0
451,18,0.23,0,32,193,0,0,0
452,8,0.04,0,30,29,0,0,0
453,8,0.06,3,37,178,0,0,0
454,13,0.21,1,25,55,0,0,0
455,12,0.15,0,39,21,0,0,0
456,9,0.23,1,38,79,0,0,0
457,15,0.03,0,45,26,0,0,0
458,16,0.16,2,22,124,0,0,0
459,3,0.82,7,128,1881,1,1,1
460,12,0.14,1,27,163,0,0,0
461,16,0.18,2,26,57,1,0,0
462,16,0.15,1,21,117,0,0,0
463,12,0.16,2,9,61,0,0,0
464,7,0.15,0,48,105,0,0,0
465,10,0.12,0,15,79,0,0,0
466,16,0.23,1,34,192,0,0,0
467,12,0.0,1,19,111,0,0,0
468,4,0.7,5,395,1227,1,1,1
469,17,0.17,0,39,170,0,0,0
470,18,0.21,0,37,199,0,0,0
471,11,0.18,1,24,160,0,0,0
472,7,0.25,2,20,152,0,0,0
473,14,0.29,1,38,164,0,0,0
474,11,0.1,1,6,188,0,0,0
475,18,0.07,0,39,190,0,0,0
476,18,0.13,3,44,91,0,0,0
477,18,0.09,0,32,101,0,0,0
478,11,0.18,1,43,188,1,0,0
479,13,0.27,2,10,184,0,0,0
480,10,0.04,1,13,13,1,0,0
481,12,0.03,0,24,144,0,0,0
482,19,0.08,2,5,118,0,0,0
483,10,0.22,0,12,172,0,0,0
484,9,0.18,2,27,57,0,0,0
485,13,0.03,0,7,82,0,0,0
486,4,0.9,5,311,1583,1,1,1
487,10,0.24,0,29,125,0,0,0
488,19,0.01,1,42,182,0,0,0
489,8,0.2,4,19,90,0,0,0
490,4,0.89,8,306,600,1,1,0
491,16,0.11,1,39,122,1,0,0
492,9,0.02,1,18,105,0,0,0
493,7,0.02,1,40,81,1,0,0
494,14,0.03,2,16,156,0,0,0
495,9,0.25,0,21,72,0,0,0
496,18,0.27,2,43,47,0,0,0
497,16,0.04,0,13,76,0,0,0
498,13,0.07,0,39,196,0,0,0
499,16,0.05,0,17,78,0,0,0
500,11,0.06,3,19,22,0,0,0
